"","cell","TissueType","OncoTree1","OncoTree2","OncoTree3","OncoTree4","TNBC","name","source","celloidx","celloacs","cid","ot2","ot3","ot4","ot1","link"
"203","colo-320","large_intestine: adenocarcinoma;large_intestine","Bowel","Colorectal Adenocarcinoma (COADREAD);colorectal_adenocarcinoma","","","","COLO-320;COLO320","ccle;achilles;mdaMills","COLO 320","CVCL_1989","colo-320","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-320_cvcl_1989.html' target='_blank'>details</a>"
"204","colo-320hsr","large_intestine","Bowel","","","","","COLO-320-HSR","gdscDec15;gdsc1;gdsc2","COLO 320HSR","CVCL_0220","colo-320hsr","","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-320hsr_cvcl_0220.html' target='_blank'>details</a>"
"205","colo-668","lung: small_cell_carcinoma;NOT_TCGA;Small Cell Lung Cancer;Lung;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC);SCLC","","","","COLO 668;COLO-668;COLO668","ccle;gdscDec15;nciSclc;prism;gdsc1;gdsc2","COLO 668","CVCL_1128","colo-668","small cell lung cancer;sclc","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-668_cvcl_1128.html' target='_blank'>details</a>"
"206","colo-677","haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma","Blood","Multiple Myeloma (MM)","","","","COLO-677","ccle","COLO 677","CVCL_1862","colo-677","multiple myeloma","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-677_cvcl_1862.html' target='_blank'>details</a>"
"207","colo-678","large_intestine: adenocarcinoma;lymph_node;large_intestine","Bowel","Colorectal Adenocarcinoma (COADREAD);colorectal_adenocarcinoma","","","","COLO-678;COLO678","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","COLO 678","CVCL_1129","colo-678","colorectal adenocarcinoma","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-678_cvcl_1129.html' target='_blank'>details</a>"
"208","colo-679","skin: malignant_melanoma;SKCM;Skin;skin","Skin","Melanoma (MEL);Melanoma;melanoma","","","","COLO-679;COLO679","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","COLO 679","CVCL_1130","colo-679","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-679_cvcl_1130.html' target='_blank'>details</a>"
"209","colo-680n","oesophagus: squamous_cell_carcinoma;Esophagus;aero_dig_tract","Esophagus_Stomach","Esophageal Squamous Cell Carcinoma (ESCC);Esophagus Squamous","","","","COLO-680N;COLO680N","ccle;gdscDec15;prism;gdsc1;gdsc2","COLO 680N","CVCL_1131","colo-680n","esophageal squamous cell carcinoma;esophagus squamous","","","Esophagus_Stomach","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-680n_cvcl_1131.html' target='_blank'>details</a>"
"210","colo-684","endometrium: adenocarcinoma;UCEC;urogenital_system","Uterus","Endometrial Carcinoma (UCEC)","","","","COLO 684;COLO-684;COLO684","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","COLO 684","CVCL_1132","colo-684","endometrial carcinoma","","","Uterus","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-684_cvcl_1132.html' target='_blank'>details</a>"
"211","colo-699","Lung","Lung","","","","","COLO699","ccle","COLO 699","CVCL_1992","colo-699","","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-699_cvcl_1992.html' target='_blank'>details</a>"
"212","colo-704","ovary: carcinoma","Ovary","Ovarian Epithelial Tumor (OVT)","","","","COLO-704","ccle","COLO 704","CVCL_1994","colo-704","ovarian epithelial tumor","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-704_cvcl_1994.html' target='_blank'>details</a>"
"213","colo-741","skin: malignant_melanoma;Skin","Skin;Bowel","Melanoma (MEL);Melanoma","","","","COLO 741;COLO-741;COLO741","ccle;gdscDec15;prism;mdaMills","COLO 741","CVCL_1133","colo-741","melanoma","","","Skin;Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-741_cvcl_1133.html' target='_blank'>details</a>"
"214","colo-775","haematopoietic_and_lymphoid_tissue: chronic_myeloid_leukaemia","Blood","Leukemia (LEUK)","Chronic Myelogenous Leukemia (CML)","","","COLO 775","ccle","COLO 775","CVCL_1996","colo-775","leukemia","chronic myelogenous leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-775_cvcl_1996.html' target='_blank'>details</a>"
"215","colo-783","skin: malignant_melanoma;SKCM;Skin;skin","Skin","Melanoma (MEL);Melanoma","","","","COLO-783;COLO783","ccle;gdscDec15;prism;gdsc1;gdsc2","COLO 783","CVCL_1997","colo-783","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-783_cvcl_1997.html' target='_blank'>details</a>"
"216","colo-792","skin: malignant_melanoma;SKCM;Skin;central_nervous_system;skin","Skin","Melanoma (MEL);Melanoma;melanoma","","","","COLO 792;COLO-792;COLO792","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","COLO 792","CVCL_1134","colo-792","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-792_cvcl_1134.html' target='_blank'>details</a>"
"217","colo-800","skin: malignant_melanoma;Skin;skin","Skin","Melanoma (MEL);Melanoma;melanoma","","","","COLO-800;COLO800","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","COLO 800","CVCL_1135","colo-800","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-800_cvcl_1135.html' target='_blank'>details</a>"
"218","colo-818","skin: malignant_melanoma","Skin","Melanoma (MEL)","","","","COLO-818","ccle","COLO 818","CVCL_1998","colo-818","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-818_cvcl_1998.html' target='_blank'>details</a>"
"219","colo-824","BRCA;breast","Breast","","","","Breast Triple Negative","COLO-824;COLO824","gdscDec15;mdaMills;gdsc1;gdsc2","COLO 824","CVCL_1136","colo-824","","","","Breast","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-824_cvcl_1136.html' target='_blank'>details</a>"
"220","colo-829","skin: malignant_melanoma;SKCM;skin","Skin","Melanoma (MEL)","","","","COLO 829;COLO-829;COLO829","ccle;gdscDec15;mdaMills;gdsc1;gdsc2","COLO 829","CVCL_1137","colo-829","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-829_cvcl_1137.html' target='_blank'>details</a>"
"221","colo-849","skin: malignant_melanoma","Skin","Melanoma (MEL)","","","","COLO-849","ccle","COLO 849","CVCL_2002","colo-849","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/colo-849_cvcl_2002.html' target='_blank'>details</a>"
"222","cor-l105","lung: adenocarcinoma;LUAD;Lung;lung_NSCLC","Lung","Non-Small Cell Lung Cancer (NSCLC);NSCLC","Lung Adenocarcinoma (LUAD);NSCLC Adenocarcinoma","","","COR-L105;CORL105","ccle;gdscDec15;prism;gdsc1;gdsc2","COR-L105","CVCL_1138","cor-l105","non-small cell lung cancer;nsclc","lung adenocarcinoma;nsclc adenocarcinoma","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l105_cvcl_1138.html' target='_blank'>details</a>"
"223","cor-l23","lung: large_cell_carcinoma;NOT_TCGA;Lung;pleural_effusion;lung_NSCLC","Lung","Non-Small Cell Lung Cancer (NSCLC);NSCLC","NSCLC Large Cell;NSCLC_large_cell","","","COR-L23;CORL23","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","COR-L23","CVCL_1139","cor-l23","non-small cell lung cancer;nsclc","nsclc large cell","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l23_cvcl_1139.html' target='_blank'>details</a>"
"224","cor-l24","lung: small_cell_carcinoma","Lung","Small Cell Lung Cancer (SCLC)","","","","COR-L24","ccle","COR-L24","CVCL_2409","cor-l24","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l24_cvcl_2409.html' target='_blank'>details</a>"
"225","cor-l279","lung: small_cell_carcinoma;Small Cell Lung Cancer;lymph_node;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC);SCLC","","","","COR-L279;CORL279","ccle;gdscDec15;nciSclc;achilles;gdsc1;gdsc2","COR-L279","CVCL_1140","cor-l279","small cell lung cancer;sclc","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l279_cvcl_1140.html' target='_blank'>details</a>"
"226","cor-l303","NOT_TCGA;lung_SCLC","Lung","","","","","COR-L303","gdscDec15;gdsc1;gdsc2","COR-L303","CVCL_2411","cor-l303","","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l303_cvcl_2411.html' target='_blank'>details</a>"
"227","cor-l311","lung: small_cell_carcinoma;NOT_TCGA;lung;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC);SCLC","","","","COR-L311;CORL311","ccle;gdscDec15;achilles;gdsc1;gdsc2","COR-L311","CVCL_2412","cor-l311","small cell lung cancer;sclc","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l311_cvcl_2412.html' target='_blank'>details</a>"
"228","cor-l32","NOT_TCGA;Small Cell Lung Cancer;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC)","","","","COR-L32","gdscDec15;nciSclc;gdsc1;gdsc2","COR-L32","CVCL_2413","cor-l32","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l32_cvcl_2413.html' target='_blank'>details</a>"
"229","cor-l321","NOT_TCGA;lung","Lung","","","","","COR-L321","gdscDec15;gdsc1;gdsc2","COR-L321","CVCL_2414","cor-l321","","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l321_cvcl_2414.html' target='_blank'>details</a>"
"230","cor-l47","lung: small_cell_carcinoma;Small Cell Lung Cancer;bone_marrow","Lung","Small Cell Lung Cancer (SCLC);SCLC","","","","COR-L47;CORL47","ccle;nciSclc;achilles","COR-L47","CVCL_2415","cor-l47","small cell lung cancer;sclc","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l47_cvcl_2415.html' target='_blank'>details</a>"
"231","cor-l51","lung: small_cell_carcinoma","Lung","Small Cell Lung Cancer (SCLC)","","","","COR-L51","ccle","COR-L51","CVCL_2416","cor-l51","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l51_cvcl_2416.html' target='_blank'>details</a>"
"232","cor-l88","lung: small_cell_carcinoma;NOT_TCGA;Small Cell Lung Cancer;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC)","","","","COR-L88;COR L88","ccle;gdscDec15;nciSclc;gdsc1;gdsc2","COR-L88","CVCL_1141","cor-l88","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l88_cvcl_1141.html' target='_blank'>details</a>"
"233","cor-l95","lung: small_cell_carcinoma;NOT_TCGA;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC)","","","","COR-L95","ccle;gdscDec15;gdsc1;gdsc2","COR-L95","CVCL_2418","cor-l95","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cor-l95_cvcl_2418.html' target='_blank'>details</a>"
"234","cov318","ovary: carcinoma;ascites","Ovary","Ovarian Epithelial Tumor (OVT);ovary_adenocarcinoma","high_grade_serous","","","COV318","ccle;achilles;mdaMills","COV318","CVCL_2419","cov318","ovarian epithelial tumor;ovary adenocarcinoma","high grade serous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov318_cvcl_2419.html' target='_blank'>details</a>"
"235","cov362","ovary: carcinoma;Ovary;pleural_effusion","Ovary","Ovarian Epithelial Tumor (OVT);Ovary Adenocarcinoma;ovary_adenocarcinoma","High Grade Serous;high_grade_serous","","","COV362","ccle;prism;achilles","COV362","CVCL_2420","cov362","ovarian epithelial tumor;ovary adenocarcinoma","high grade serous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov362_cvcl_2420.html' target='_blank'>details</a>"
"236","cov413a","large_intestine","Ovary","ovary_carcinoma","","","","COV413A","achilles","COV413A","CVCL_2422","cov413a","ovary carcinoma","","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov413a_cvcl_2422.html' target='_blank'>details</a>"
"237","cov434","ovary: granulosa_cell_tumour;Ovary;ovary","Ovary","Sex Cord Stromal Tumors (SCST);Ovary Adenocarcinoma;ovary_adenocarcinoma","Granulosa Cell Tumor (GRCT);Endometrioid;endometrioid","","","COV434","ccle;prism;achilles","COV434","CVCL_2010","cov434","sex cord stromal tumors;ovary adenocarcinoma","granulosa cell tumor;endometrioid","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov434_cvcl_2010.html' target='_blank'>details</a>"
"238","cov504","ovary: carcinoma;pleural_effusion","Ovary","Ovarian Epithelial Tumor (OVT);ovary_adenocarcinoma","high_grade_serous","","","COV504","ccle;achilles","COV504","CVCL_2424","cov504","ovarian epithelial tumor;ovary adenocarcinoma","high grade serous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov504_cvcl_2424.html' target='_blank'>details</a>"
"239","cov644","ovary: carcinoma;ovary","Ovary","Ovarian Epithelial Tumor (OVT);ovary_adenocarcinoma","mucinous","","","COV644","ccle;achilles","COV644","CVCL_2425","cov644","ovarian epithelial tumor;ovary adenocarcinoma","mucinous","","Ovary","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cov644_cvcl_2425.html' target='_blank'>details</a>"
"240","cp50-mel-b","SKCM;skin","Skin","","","","","CP50-MEL-B","gdscDec15;gdsc1;gdsc2","CP50-MEL-B","CVCL_1143","cp50-mel-b","","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cp50-mel-b_cvcl_1143.html' target='_blank'>details</a>"
"241","cp66-mel","skin","Skin","Melanoma (MEL)","","","","CP66-MEL","gdscDec15;gdsc1;gdsc2","CP66-MEL","CVCL_1144","cp66-mel","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cp66-mel_cvcl_1144.html' target='_blank'>details</a>"
"242","cp67-mel","skin","Skin","Melanoma (MEL)","","","","CP67-MEL","gdscDec15;gdsc1","CP67-MEL","CVCL_1145","cp67-mel","melanoma","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cp67-mel_cvcl_1145.html' target='_blank'>details</a>"
"243","cpc-n","lung: small_cell_carcinoma;NOT_TCGA;lung_SCLC","Lung","Small Cell Lung Cancer (SCLC)","","","","CPC-N","ccle;gdscDec15;gdsc1;gdsc2","CPC-N","CVCL_1146","cpc-n","small cell lung cancer","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cpc-n_cvcl_1146.html' target='_blank'>details</a>"
"244","cro-ap2","lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","CRO-AP2","gdscDec15;gdsc1;gdsc2","CRO-AP2","CVCL_1147","cro-ap2","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cro-ap2_cvcl_1147.html' target='_blank'>details</a>"
"245","cro-ap3","","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","CRO-AP3","gdscDec15","CRO-AP3","CVCL_1810","cro-ap3","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cro-ap3_cvcl_1810.html' target='_blank'>details</a>"
"246","cs-1-human-chondrosarcoma","bone","Bone","","","","","CS1","gdscDec15;gdsc1;gdsc2","CS-1 [Human chondrosarcoma]","CVCL_T023","cs-1-human-chondrosarcoma","","","","Bone","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cs-1-human-chondrosarcoma_cvcl_t023.html' target='_blank'>details</a>"
"247","ctb-1","lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","","","CTB-1","gdscDec15;gdsc1;gdsc2","CTB-1","CVCL_1149","ctb-1","non-hodgkin's lymphoma","b-cell lymphoma","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ctb-1_cvcl_1149.html' target='_blank'>details</a>"
"248","ctv-1","LAML;leukemia","Blood","Leukemia (LEUK)","Acute Myeloid Leukemia (AML)","","","CTV-1","gdscDec15;gdsc1;gdsc2","CTV-1","CVCL_1150","ctv-1","leukemia","acute myeloid leukemia","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/ctv-1_cvcl_1150.html' target='_blank'>details</a>"
"249","cw-2","large_intestine: carcinoma;large_intestine","Bowel","","","","","CW-2","ccle;gdscDec15;gdsc1;gdsc2","CW-2","CVCL_1151","cw-2","","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cw-2_cvcl_1151.html' target='_blank'>details</a>"
"250","cw9019","soft_tissue","Soft_Tissue","rhabdomyosarcoma","alveolar","","","CW9019","achilles","CW9019","CVCL_N820","cw9019","rhabdomyosarcoma","alveolar","","Soft_Tissue","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cw9019_cvcl_n820.html' target='_blank'>details</a>"
"251","cx-1","colon","Bowel","","","","","CX1","mdaMills","CX-1","CVCL_2011","cx-1","","","","Bowel","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/cx-1_cvcl_2011.html' target='_blank'>details</a>"
"252","d-245mg","nervous_system","Brain_CNS","Glioma","Glioblastoma","","","D-245MG","gdsc2","D-245MG","CVCL_1152","d-245mg","glioma","glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-245mg_cvcl_1152.html' target='_blank'>details</a>"
"253","d-247mg","GBM;nervous_system","Brain_CNS","","","","","D-247MG","gdscDec15;gdsc1;gdsc2","D-247MG","CVCL_1153","d-247mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-247mg_cvcl_1153.html' target='_blank'>details</a>"
"254","d-263mg","GBM;nervous_system","Brain_CNS","","","","","D-263MG","gdscDec15;gdsc1;gdsc2","D-263MG","CVCL_1154","d-263mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-263mg_cvcl_1154.html' target='_blank'>details</a>"
"255","d-336mg","OTHER;nervous_system","Brain_CNS","","","","","D-336MG","gdscDec15;gdsc1;gdsc2","D-336MG","CVCL_1156","d-336mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-336mg_cvcl_1156.html' target='_blank'>details</a>"
"256","d-392mg","GBM;nervous_system","Brain_CNS","","","","","D-392MG","gdscDec15;gdsc1;gdsc2","D-392MG","CVCL_1158","d-392mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-392mg_cvcl_1158.html' target='_blank'>details</a>"
"257","d-423mg","GBM;nervous_system","Brain_CNS","","","","","D-423MG","gdscDec15;gdsc1;gdsc2","D-423MG","CVCL_1160","d-423mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-423mg_cvcl_1160.html' target='_blank'>details</a>"
"258","d-502mg","OTHER;nervous_system","Brain_CNS","","","","","D-502MG","gdscDec15;gdsc1;gdsc2","D-502MG","CVCL_1162","d-502mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-502mg_cvcl_1162.html' target='_blank'>details</a>"
"259","d-542mg","GBM;nervous_system","Brain_CNS","","","","","D-542MG","gdscDec15;gdsc1;gdsc2","D-542MG","CVCL_1164","d-542mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-542mg_cvcl_1164.html' target='_blank'>details</a>"
"260","d-566mg","GBM;nervous_system","Brain_CNS","","","","","D-566MG","gdscDec15;gdsc1;gdsc2","D-566MG","CVCL_1166","d-566mg","","","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d-566mg_cvcl_1166.html' target='_blank'>details</a>"
"261","d10","Melanoma","Skin","","","","","D10","ancats","D10","CVCL_H945","d10","","","","Skin","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d10_cvcl_h945.html' target='_blank'>details</a>"
"262","d283-med","central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma;OTHER;abdomen;nervous_system","Brain_CNS","Embryonal Tumor (EMBT);medulloblastoma","Medulloblastoma (MBL);med_group_3","","","D283 Med;D-283MED;D283MED","ccle;gdscDec15;achilles;gdsc1;gdsc2","D283 Med","CVCL_1155","d283-med","embryonal tumor;medulloblastoma","medulloblastoma;med group 3","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d283-med_cvcl_1155.html' target='_blank'>details</a>"
"263","d341-med","central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma;central_nervous_system","Brain_CNS","Embryonal Tumor (EMBT);medulloblastoma","Medulloblastoma (MBL);med_group_3","","","D341 Med;D341","ccle;achilles","D341 Med","CVCL_0018","d341-med","embryonal tumor;medulloblastoma","medulloblastoma;med group 3","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d341-med_cvcl_0018.html' target='_blank'>details</a>"
"264","d425-med","central_nervous_system","Brain_CNS","medulloblastoma","med_group_3","","","D425","achilles","D425 Med","CVCL_1275","d425-med","medulloblastoma","med group 3","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d425-med_cvcl_1275.html' target='_blank'>details</a>"
"265","d458-med","central_nervous_system","Brain_CNS","medulloblastoma","med_group_3","","","D458","achilles","D458 Med","CVCL_1161","d458-med","medulloblastoma","med group 3","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/d458-med_cvcl_1161.html' target='_blank'>details</a>"
"266","dan-g","pancreas: carcinoma;PAAD;Pancreas;pancreas","Pancreas","Exocrine;exocrine","Exocrine Adenocarcinoma;exocrine_adenocarcinoma","","","DAN-G;DANG","ccle;gdscDec15;prism;achilles;mdaMills;gdsc1;gdsc2","DAN-G","CVCL_0243","dan-g","exocrine","exocrine adenocarcinoma","","Pancreas","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/dan-g_cvcl_0243.html' target='_blank'>details</a>"
"267","daoy","central_nervous_system: primitive_neuroectodermal_tumour-medulloblastoma;OTHER;Central Nervous System;central_nervous_system;nervous_system","Brain_CNS","Embryonal Tumor (EMBT);Medulloblastoma;medulloblastoma","Medulloblastoma (MBL);","Non MYC","","Daoy;DAOY","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2","Daoy","CVCL_1167","daoy","embryonal tumor;medulloblastoma","medulloblastoma;","non myc","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/daoy_cvcl_1167.html' target='_blank'>details</a>"
"268","daudi","haematopoietic_and_lymphoid_tissue: Burkitt_lymphoma;lymphoma;Epstein-Barr virus-related Burkitt lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL)","B-Cell Lymphoma (BCL)","Burkitt Lymphoma (BL)","","Daudi;DAUDI","ccle;gdscDec15;mdaMills;gdsc1;gdsc2;ancats","Daudi","CVCL_0008","daudi","non-hodgkin's lymphoma","b-cell lymphoma","burkitt lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/daudi_cvcl_0008.html' target='_blank'>details</a>"
"269","db","haematopoietic_and_lymphoid_tissue: diffuse_large_B_cell_lymphoma;DLBC;ascites;lymphoma;Diffuse large B-cell lymphoma","Lymph","Non-Hodgkin's Lymphoma (NHL);non_hodgkin_lymphoma","B-Cell Lymphoma (BCL);DLBCL","Diffuse Large B-Cell Lymphoma (DLBCL)","","DB","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2;ancats","DB","CVCL_1168","db","non-hodgkin's lymphoma;non hodgkin lymphoma","b-cell lymphoma;dlbcl","diffuse large b-cell lymphoma","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/db_cvcl_1168.html' target='_blank'>details</a>"
"270","dbtrg-05mg","central_nervous_system: astrocytoma_Grade_IV;GBM;Central Nervous System;nervous_system","Brain_CNS","Diffuse Glioma (DIFG);Glioma","Astrocytoma (ASTR);Glioblastoma","","","DBTRG-05MG;DBTRG05MG","ccle;gdscDec15;prism;gdsc1;gdsc2","DBTRG-05MG","CVCL_1169","dbtrg-05mg","diffuse glioma;glioma","astrocytoma;glioblastoma","","Brain_CNS","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/dbtrg-05mg_cvcl_1169.html' target='_blank'>details</a>"
"271","del","haematopoietic_and_lymphoid_tissue: lymphoid_neoplasm;pleural_effusion;lymphoma","Lymph","non_hodgkin_lymphoma","t_cell_ALCL","","","DEL","ccle;gdscDec15;achilles;mdaMills;gdsc1;gdsc2","DEL","CVCL_1170","del","non hodgkin lymphoma","t cell alcl","","Lymph","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/del_cvcl_1170.html' target='_blank'>details</a>"
"272","delta-47","Plasma cell myeloma","Blood","","","","","delta-47","ancats","delta-47","CVCL_2887","delta-47","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/delta-47_cvcl_2887.html' target='_blank'>details</a>"
"273","derl-2","Hepatosplenic T-cell lymphoma","Blood","","","","","DERL-2","ancats","DERL-2","CVCL_2016","derl-2","","","","Blood","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/derl-2_cvcl_2016.html' target='_blank'>details</a>"
"274","detroit-562","upper_aerodigestive_tract: carcinoma;HNSC;Head_Neck;pleural_effusion;aero_dig_tract;Pharyngeal squamous cell carcinoma","Head_Neck","Head_Neck Squamous;upper_aerodigestive_squamous","Pharynx;pharynx","","","Detroit 562;Detroit562;DETROIT562","ccle;gdscDec15;prism;achilles;gdsc1;gdsc2;ancats","Detroit 562","CVCL_1171","detroit-562","head neck squamous;upper aerodigestive squamous","pharynx","","Head_Neck","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/detroit-562_cvcl_1171.html' target='_blank'>details</a>"
"275","dfci024","lung: adenocarcinoma","Lung","Non-Small Cell Lung Cancer (NSCLC)","Lung Adenocarcinoma (LUAD)","","","DFCI024","ccle;mdaMills","DFCI024","CVCL_A762","dfci024","non-small cell lung cancer","lung adenocarcinoma","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/dfci024_cvcl_a762.html' target='_blank'>details</a>"
"276","dfci032","lung","Lung","","","","","DFCI032","mdaMills","DFCI032","CVCL_A763","dfci032","","","","Lung","<a href='https://discovery.nci.nih.gov/cell-lines/cellminercdb/dfci032_cvcl_a763.html' target='_blank'>details</a>"
